排名,封面,歌名,歌手,愛心數量,愛心數量(數值),播放次數,時長,發佈日期,標籤,歌曲連結
99,https://i.ytimg.com/vi/KTZ-y85Erus/sddefault.jpg,だから僕は音楽を辞めた,ヨルシカ,1.4K,1400,40.7K,4:07,2019-04-10,"#JPOP, #ヨルシカ",https://www.marumaru-x.com/japanese-song/play-1pox1jknyw
100,https://i.ytimg.com/vi/SII-S-zCg-c/sddefault.jpg,高嶺の花子さん,back number,1.4K,1400,60.1K,4:57,2013-06-26,"#JPOP, #back number",https://www.marumaru-x.com/japanese-song/play-wzrvd4lr3k
101,https://i.ytimg.com/vi/uwph0dv9E6U/sddefault.jpg,Sincerely,TRUE,1.4K,1400,27.6K,4:43,2018-01-31,"#ANM, #TRUE",https://www.marumaru-x.com/japanese-song/play-ymree0krd3
102,https://i.ytimg.com/vi/tIhL2KHVdgE/sddefault.jpg,STYX HELIX,MYTH & ROID,1.3K,1300,43.6K,4:46,2016-05-25,"#ANM, #MYTH & ROID",https://www.marumaru-x.com/japanese-song/play-e4oymvxo3z
103,https://i.ytimg.com/vi/LJkn2qqtijk/sddefault.jpg,Catch the Moment,LiSA,1.3K,1300,36.2K,4:46,2017-02-15,"#ANM, #LiSA",https://www.marumaru-x.com/japanese-song/play-1poxedyryw
104,https://i.ytimg.com/vi/RHBumUYrap4/hqdefault.jpg,おはよう。,Keno,1.3K,1300,31.1K,4:36,2000-01-01,"#ANM, #Keno",https://www.marumaru-x.com/japanese-song/play-ywn1zejr7l
105,https://i.ytimg.com/vi/qiX5DI--8bg/sddefault.jpg,名前のない怪物,EGOIST,1.3K,1300,20.4K,6:00,2012-12-05,"#ANM, #EGOIST",https://www.marumaru-x.com/japanese-song/play-14o716vdok
106,https://i.ytimg.com/vi/VQ2D8rZljwU/sddefault.jpg,Brave Shine,Aimer,1.3K,1300,30.1K,3:54,2015-06-03,"#ANM, #Aimer",https://www.marumaru-x.com/japanese-song/play-1pox4v4nyw
107,https://i.ytimg.com/vi/0wPkUlXIVP4/sddefault.jpg,蝶々結び,Aimer,1.3K,1300,43.7K,6:06,2016-08-17,"#JPOP, #Aimer",https://www.marumaru-x.com/japanese-song/play-y8rjmv6r9x
108,https://i.ytimg.com/vi/dvXRX5RJiIo/sddefault.jpg,エウテルペ,EGOIST,1.3K,1300,15.3K,3:49,2011-11-30,"#JPOP, #EGOIST",https://www.marumaru-x.com/japanese-song/play-14o715ydok
109,https://i.ytimg.com/vi/sOiMD45QGLs/sddefault.jpg,ギラギラ,Ado,1.3K,1300,44.5K,4:37,2021-02-14,"#JPOP, #Ado",https://www.marumaru-x.com/japanese-song/play-1zn4qke7re
110,https://i.ytimg.com/vi/pm9JyMiAU6A/sddefault.jpg,再会,LiSA×Uru,1.3K,1300,47.8K,4:03,2020-11-16,"#CM, #LiSA, #Uru",https://www.marumaru-x.com/japanese-song/play-94oglxjpr0
111,https://i.ytimg.com/vi/61z-cqg28R8/sddefault.jpg,SAKURA,いきものがかり,1.3K,1300,31.5K,6:00,2006-03-15,"#JPOP, #いきものがかり",https://www.marumaru-x.com/japanese-song/play-v14o737rkq
112,https://i.ytimg.com/vi/d9eudCNJv1E/sddefault.jpg,あなただけ見つめてる,大黒摩季,1.3K,1300,34.7K,4:44,1993-12-10,"#ANM, #大黒摩季",https://www.marumaru-x.com/japanese-song/play-2go284k4o3
113,https://i.ytimg.com/vi/OIBODIPC_8Y/sddefault.jpg,勇者,YOASOBI,1.3K,1300,44.7K,3:24,2023-09-29,"#ANM, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-lkrz5996re
114,https://i.ytimg.com/vi/kzdJkT4kp-A/sddefault.jpg,ハルジオン,YOASOBI,1.3K,1300,48.5K,3:23,2020-05-11,"#OTH, #YOASOBI",https://www.marumaru-x.com/japanese-song/play-lkrz5zm7re
115,https://i.ytimg.com/vi/MgNItWdfEIU/sddefault.jpg,スパークル [original ver.],RADWIMPS,1.3K,1300,46.1K,6:51,2016-11-23,"#JPOP, #RADWIMPS",https://www.marumaru-x.com/japanese-song/play-60rm90z0np
116,https://i.ytimg.com/vi/pURmemr5LRM/sddefault.jpg,brave heart,宮崎歩,1.3K,1300,32.2K,4:12,1999-06-25,"#ANM, #宮崎歩",https://www.marumaru-x.com/japanese-song/play-q9oqlkmn4y
